DAM_ID,DAM_NAME,STATE,AGENCY_CODE,LONG,LAT,TIME_SERIES_START,TIME_SERIES_END,INCONSISTENCIES_NOTED
578,Platoro,Colorado,BOR,-106.545704,37.350215,2016-03-10,2021-01-27,NA
580,Crane Val Stor,California,CDEC,-119.527037,37.293805,2020-01-01,2020-12-31,NA
585,Buchanan Dam,California,CDEC,-119.984278,37.219517,1985-01-01,2021-01-01,NA
592,Hidden Dam,California,CDEC,-119.881035,37.110637,1985-01-01,2021-01-01,NA
593,Courtright,California,CDEC,-118.973044,37.081222,1998-09-01,2020-12-31,NA
595,Friant,California,BOR,-119.702082,37.002085,1985-01-01,2020-12-31,NA
597,Glen Canyon,Arizona,BOR,-111.485228,36.939635,1963-03-11,2021-01-27,NA
600,Pine Flat Dam,California,CDEC,-119.321848,36.831978,1985-01-01,2021-01-01,NA
601,Navajo,New Mexico,BOR,-107.609481,36.801492,1962-06-26,2021-01-27,NA
603,Heron,New Mexico,BOR,-106.70481,36.666231,1974-12-31,2021-01-27,NA
604,El Vado Reservoir Dam,New Mexico,BOR,-106.732989,36.594947,1974-12-31,2021-01-28,NA
605,Terminus Dam,California,CDEC,-119.001457,36.418267,1985-01-01,2021-01-01,NA
606,Abiquiu Dam,New Mexico,BOR,-106.42863,36.237769,1974-01-02,2021-01-27,NA
609,Success Dam,California,CDEC,-118.92174,36.062301,1988-01-04,2021-01-01,NA
610,Hoover,Nevada,BOR,-114.735006,36.018191,1934-04-01,2021-01-28,NA
612,Isabella Dam,California,CDEC,-118.481266,35.648325,1985-01-01,2021-01-01,NA
613,Cochiti,New Mexico,BOR,-106.317485,35.61975,1970-10-01,2021-01-27,NA
614,Jemez Canyon Dam,New Mexico,BOR,-106.548993,35.394321,1974-01-02,2021-01-27,NA
616,Davis Bor,Arizona,BOR,-114.572791,35.20227,1949-03-01,2021-01-28,NA
619,Pyramid,California,CDEC,-118.764728,34.645013,2007-04-30,2020-12-31,NA
620,Bradbury,California,CDEC,-119.979533,34.585417,2005-01-07,2020-12-31,NA
624,Castaic,California,CDEC,-118.605333,34.520378,2007-04-30,2020-12-31,NA
625,Santa Felicia,California,USGS,-118.753391,34.462147,1980-01-01,2020-12-31,NA
627,Lyman,Arizona,USGS,-109.380173,34.368424,1980-01-01,2020-12-31,NA
629,Parker,Arizona,BOR,-114.138725,34.29867,1935-01-02,2021-01-28,NA
640,Horseshoe,Arizona,USGS,-111.710417,33.985427,1980-01-01,2020-12-31,NA
643,Perris,California,CDEC,-117.182292,33.844532,1979-12-01,2020-12-31,NA
644,Bartlett,Arizona,USGS,-111.629844,33.817207,1980-01-01,2020-12-31,NA
648,Diamond Valley Lake,California,CDEC,-117.063342,33.668795,1999-10-01,2020-12-31,NA
654,Vail,California,USGS,-116.975529,33.496395,1980-01-01,2020-12-31,NA
656,Coolidge,Arizona,USGS,-110.522895,33.176265,1980-01-01,2020-12-31,NA
657,Elephant Butte Dike,New Mexico,BOR,-107.189253,33.156049,2015-03-21,2021-01-28,NA
664,Caballo,New Mexico,BOR,-107.293998,32.898365,1938-02-08,2021-01-27,NA
725,Rafferty,"Saskatchewan, CAN",CAN,-103.09456,49.151575,1998-03-01,2019-12-31,NA
726,Boundary,"Saskatchewan, CAN",CAN,-103.01997,49.096083,1958-04-02,2019-12-31,NA
740,Lower Red Lake Dam,Minnesota,ACE_MIS,-95.272214,47.956032,1965-01-01,2020-12-31,NA
744,Birch Lake,Minnesota,MIN,-91.784897,47.813354,2004-01-01,2021-03-03,NA
753,Garrison Dam,North Dakota,ACE_OMA,-101.432292,47.50613,1953-12-01,2019-10-01,NA
758,Winnibigoshish Dam,Minnesota,ACE_STP,-94.053087,47.428657,2019-06-26,2020-07-03,NA
761,Upper Rice Lake,Minnesota,MIN,-95.314536,47.380974,2021-01-01,2020-12-31,NA
762,Prairie River,Minnesota,MIN,-93.502526,47.287092,1997-06-25,2021-03-02,NA
763,Whiteface Lake,Minnesota,MIN,-92.189105,47.282541,2021-01-01,2020-12-31,NA
767,Leech Lake Dam,Minnesota,ACE_STP,-94.223518,47.251782,1930-01-01,2020-07-05,NA
768,Pokegama Lake Dam,Minnesota,ACE_STP,-93.588285,47.251326,1935-01-01,2020-07-05,NA
773,Boulder Lake,Minnesota,MIN,-92.203247,47.053208,2021-01-01,2020-12-31,NA
